,Word,Occurences
0,і,1308
1,не,998
2,в,842
3,на,757
4,що,627
5,у,601
6,як,564
7,з,526
8,я,377
9,до,291
10,а,285
11,за,279
12,й,268
13,ти,240
14,ми,237
15,із,232
16,це,220
17,від,186
18,та,182
19,коли,161
20,але,159
21,так,154
22,ще,153
23,чи,151
24,де,150
25,про,136
26,все,122
27,нас,121
28,під,120
29,по,112
30,тебе,107
31,бо,107
32,його,105
33,мене,99
34,вже,98
35,мені,98
36,там,94
37,він,92
38,щоб,91
39,її,87
40,для,85
41,тепер,85
42,хто,83
43,тут,80
44,ні,78
45,над,76
46,вона,76
47,себе,74
48,тобі,74
49,ніби,73
50,всі,71
51,є,71
52,їх,69
53,без,67
54,нам,66
55,якщо,65
56,вони,65
57,то,64
58,тільки,63
59,ж,63
60,може,63
61,ось,62
62,буде,62
63,наче,60
64,зі,60
65,було,58
66,війна,58
67,поки,57
68,час,57
69,потім,56
70,землі,54
71,які,52
72,слова,52
73,те,52
74,наші,52
75,життя,51
76,них,51
77,між,50
78,тих,50
79,цього,49
80,більше,48
81,хоч,46
82,навіть,46
83,просто,46
84,цей,46
85,хай,46
86,світ,45
87,війни,45
88,усе,43
89,який,43
90,собі,42
91,нічого,42
92,мов,41
93,діти,41
94,можна,41
95,ви,40
96,моя,39
97,руки,38
98,уже,38
99,люди,38
100,смерть,37
101,весна,37
102,ніколи,36
103,немає,36
104,мій,36
105,б,35
106,очі,35
107,мої,35
108,и,35
109,треба,34
110,перед,34
111,ніч,34
112,тому,34
113,при,34
114,же,34
115,ніхто,34
116,кого,34
117,саме,33
118,би,33
119,ці,33
120,їм,33
121,обличчя,33
122,цю,33
123,міста,33
124,був,32
125,хтось,32
126,знаю,32
127,світу,31
128,небо,31
129,крізь,31
130,свою,31
131,землю,31
132,тим,31
133,того,31
134,нема,30
135,біля,30
136,день,30
137,неї,30
138,усі,30
139,серце,29
140,колись,29
141,здається,29
142,така,29
143,чого,29
144,серед,29
145,каже,28
146,тіло,28
147,аби,28
148,буду,28
149,жінки,27
150,нами,27
151,таке,27
152,один,27
153,якого,27
154,після,27
155,любов,26
156,яких,26
157,м,26
158,ніж,26
159,або,26
160,ця,26
161,лиш,25
162,вірші,25
163,сьогодні,25
164,твоя,25
165,бог,25
166,кров,25
167,через,25
168,йому,25
169,місто,25
170,війну,25
171,яка,25
172,лише,25
173,завжди,25
174,київ,25
175,воно,24
176,свої,24
177,вірш,24
178,боже,24
179,собою,23
180,слів,23
181,твій,23
182,їй,23
183,дай,23
184,досі,23
185,моє,22
186,земля,22
187,ті,22
188,одного,22
189,має,22
190,світло,22
191,щось,22
192,надто,22
193,десь,21
194,смерті,21
195,вітер,21
196,немов,21
197,своїх,21
198,кожен,21
199,знову,21
200,мамо,21
201,скільки,21
202,бути,21
203,всіх,21
204,такий,20
205,вам,20
206,ними,20
207,були,20
208,цих,20
209,дім,20
210,господи,20
211,яку,20
212,голос,20
213,дві,20
214,любові,20
215,мова,20
216,лежить,20
217,зараз,20
218,з-під,20
219,дітей,20
220,той,19
221,теж,19
222,о,19
223,куди,19
224,свій,19
225,дні,19
226,ані,19
227,стільки,19
228,аж,19
229,нині,19
230,їхні,19
231,живі,19
232,людей,19
233,разом,19
234,стане,19
235,всім,19
236,вікна,19
237,двері,19
238,твого,19
239,голосу,19
240,біль,18
241,тіла,18
242,трохи,18
243,об,18
244,раптом,18
245,бачиш,18
246,доки,18
247,світла,18
248,тоді,18
249,вогонь,18
250,крові,18
251,лице,18
252,далі,18
253,наша,18
254,страх,18
255,поміж,18
256,тобою,18
257,жити,18
258,будемо,18
259,зовсім,18
260,поруч,18
261,одна,18
262,ну,17
263,сніг,17
264,камінь,17
265,хіба,17
266,ночі,17
267,очима,17
268,твої,17
269,років,17
270,серця,17
271,стоїть,17
272,довго,17
273,кожного,17
274,якому,17
275,часом,17
276,рани,17
277,жінка,17
278,болю,17
279,посеред,16
280,стає,16
281,пам'ять,16
282,своїм,16
283,мови,16
284,мама,16
285,чому,16
286,сонце,16
287,хочу,16
288,добре,16
289,вас,16
290,мати,16
291,наших,16
292,можу,16
293,говорити,16
294,багато,16
295,смерте,16
296,якої,15
297,часу,15
298,слід,15
299,книжки,15
300,фото,15
301,нього,15
302,води,15
303,світі,15
304,руками,15
305,чим,15
306,яке,15
307,щоразу,15
308,дому,15
309,нехай,15
310,народ,15
311,мало,15
312,наше,15
313,усіх,15
314,інші,15
315,будь,15
316,нарешті,15
317,кілька,14
318,поля,14
319,рік,14
320,дим,14
321,три,14
322,свого,14
323,море,14
324,замість,14
325,переклад,14
326,літери,14
327,пальці,14
328,квіти,14
329,спершу,14
330,додому,14
331,чути,14
332,знов,14
333,сад,14
334,мить,14
335,цієї,14
336,каміння,14
337,спиш,14
338,спи,14
339,слово,14
340,неба,14
341,березня,14
342,трава,13
343,нею,13
344,спати,13
345,давно,13
346,син,13
347,року,13
348,іще,13
349,такі,13
350,тихо,13
351,дня,13
352,майже,13
353,також,13
354,птахи,13
355,горе,13
356,кажуть,13
357,знати,13
358,кінця,13
359,раз,13
360,вогнем,13
361,сні,13
362,дитина,13
363,знає,13
364,інших,13
365,білі,13
366,кожна,13
367,сни,13
368,два,13
369,бачили,13
370,війні,13
371,руку,12
372,нашу,12
373,тіні,12
374,своє,12
375,назад,12
376,кості,12
377,сам,12
378,будуть,12
379,кому,12
380,твою,12
381,кожному,12
382,яким,12
383,от,12
384,цьому,12
385,міг,12
386,ньому,12
387,іде,12
388,чуєш,12
389,ріки,12
390,імена,12
391,ся,12
392,бога,12
393,всього,12
394,твоїх,12
395,мого,12
396,наш,12
397,знали,12
398,диван,12
399,тривога,12
400,звук,12
401,когось,11
402,сюди,11
403,місця,11
404,чоловіки,11
405,повітря,11
406,долоні,11
