,Word,Occurences
0,і,1408
1,не,1124
2,в,918
3,на,812
4,що,654
5,з,554
6,у,531
7,як,483
8,я,463
9,й,351
10,а,345
11,до,324
12,за,290
13,це,270
14,про,266
15,ти,240
16,та,226
17,так,224
18,із,220
19,від,200
20,все,190
21,ми,187
22,коли,178
23,він,158
24,чи,157
25,її,149
26,ще,147
27,нас,138
28,мене,137
29,тебе,134
30,хто,131
31,але,130
32,вона,129
33,його,123
34,буде,111
35,де,109
36,ніби,98
37,ж,97
38,вже,96
39,вони,96
40,по,95
41,під,94
42,всі,94
43,лише,91
44,мені,90
45,там,90
46,для,88
47,те,83
48,нам,83
49,хай,82
50,було,82
51,є,81
52,тут,81
53,щоб,80
54,час,78
55,їх,78
56,тепер,76
57,навіть,75
58,тобі,73
59,ось,72
60,немає,71
61,без,71
62,и,70
63,ні,69
64,над,69
65,бо,68
66,то,67
67,просто,67
68,зі,64
69,б,64
70,життя,64
71,якщо,63
72,тому,62
73,цей,60
74,собі,58
75,тільки,58
76,того,57
77,можна,57
78,них,56
79,наче,55
80,той,55
81,нічого,55
82,при,54
83,мов,53
84,слова,53
85,хтось,52
86,саме,52
87,які,51
88,знаю,51
89,завжди,51
90,ви,50
91,між,49
92,ніколи,49
93,їм,48
94,діти,48
95,ніхто,47
96,себе,46
97,теж,45
98,може,45
99,землі,44
100,смерть,44
101,наші,44
102,більше,44
103,неї,43
104,нього,43
105,ці,43
106,твої,43
107,чому,42
108,ця,41
109,сніг,41
110,щось,41
111,тим,40
112,всіх,39
113,повітря,39
114,бути,39
115,небо,38
116,цього,37
117,тих,37
118,доки,37
119,цьому,37
120,яка,37
121,далі,37
122,цю,37
123,чого,36
124,війна,36
125,тобою,36
126,потім,35
127,йому,35
128,речі,35
129,поміж,35
130,любов,35
131,люди,34
132,серце,34
133,каже,34
134,моя,34
135,треба,34
136,руки,34
137,яких,33
138,ними,32
139,мій,32
140,серед,32
141,би,32
142,один,31
143,щоби,31
144,тоді,31
145,сьогодні,31
146,говорити,31
147,кров,31
148,ті,31
149,день,31
150,дерева,30
151,знову,30
152,усе,30
153,вода,30
154,земля,30
155,одного,30
156,світ,30
157,свободи,30
158,ніч,29
159,ночі,29
160,міста,29
161,смерті,29
162,сонце,29
163,всім,29
164,після,29
165,перед,29
166,свого,28
167,очі,28
168,свою,28
169,жадан,28
170,вірш,28
171,вас,28
172,свій,28
173,свобода,28
174,знає,28
175,нами,28
176,свободу,28
177,головне,28
178,цих,27
179,одне,27
180,наших,27
181,сам,27
182,нею,27
183,от,27
184,десь,27
185,разом,27
186,свої,27
187,їй,27
188,кого,26
189,насправді,26
190,зима,26
191,часу,26
192,вам,26
193,води,26
194,крізь,26
195,кожен,26
196,аби,26
197,довго,25
198,який,25
199,колись,25
200,землю,25
201,будуть,25
202,ним,25
203,були,25
204,вітер,24
205,хоча,24
206,аж,24
207,світла,24
208,нема,24
209,стоять,24
210,шо,24
211,бог,24
212,людей,24
213,сказати,23
214,куди,23
215,якого,23
216,має,23
217,мої,23
218,добре,23
219,поки,23
220,додому,23
221,одно,23
222,чим,23
223,надто,22
224,світу,22
225,повітрі,22
226,був,22
227,багато,22
228,ну,22
229,зовсім,22
230,можливо,22
231,повертайся,22
232,жінки,21
233,твій,21
234,світло,21
235,або,21
236,твоя,21
237,була,21
238,крові,21
239,хоч,21
240,усіх,21
241,страх,21
242,вірші,21
243,дихання,20
244,мною,20
245,же,20
246,бачив,20
247,неба,20
248,стільки,20
249,вогонь,20
250,вулиці,20
251,років,20
252,чекає,20
253,взагалі,20
254,такий,19
255,два,19
256,дітей,19
257,приходить,19
258,само,19
259,море,19
260,чорна,19
261,через,19
262,вночі,19
263,мати,19
264,така,19
265,слово,19
266,якими,19
267,краще,18
268,собою,18
269,бачиш,18
270,проти,18
271,нині,18
272,листя,18
273,якому,18
274,самі,18
275,усі,18
276,таке,18
277,можеш,18
278,їхні,18
279,живе,18
280,слів,18
281,кому,18
282,уже,17
283,голос,17
284,боку,17
285,чорні,17
286,твого,17
287,місяць,17
288,любові,17
289,твоїх,17
290,зими,17
291,цій,17
292,буду,17
293,варта,17
294,раз,17
295,особливо,17
296,природно,17
297,справді,17
298,поля,16
299,якої,16
300,своє,16
301,мови,16
302,двері,16
