,Word,Occurences_Before,Occurences_After,Percent_Before,Percent_After,Delta
0,і,1408,1308,0.02814367666753283,0.028321496622206826,0.0001778199546739953
1,не,1124,998,0.022466969157888424,0.021609215312662394,-0.0008577538452260308
2,в,918,842,0.01834935737272382,0.01823142213753681,-0.0001179352351870118
3,на,812,757,0.016230586259969218,0.016390957907500434,0.00016037164753121558
4,що,654,627,0.013072417997561415,0.013576130261562446,0.000503712264001031
5,з,554,526,0.011073577325151412,0.011389225705872164,0.00031564838072075177
6,у,531,601,0.010613843970497111,0.013013164732374849,0.002399320761877738
7,як,483,564,0.00965440044774031,0.01221202147930019,0.002557621031559879
8,я,463,377,0.00925463231325831,0.008163000173220162,-0.0010916321400381481
9,й,351,268,0.007015930760159108,0.005802875454702927,-0.0012130553054561805
10,а,345,285,0.0068960003198145076,0.006170968300710203,-0.0007250320191043045
11,до,324,291,0.006476243778608407,0.0063008834228304176,-0.0001753603557779898
12,за,290,279,0.005796637949989006,0.006041053178589988,0.00024441522860098146
13,це,270,220,0.005396869815507006,0.004763554477741209,-0.0006333153377657968
14,про,266,136,0.005316916188610606,0.002944742768058202,-0.002372173420552404
15,ти,240,240,0.004797217613784005,0.0051966048848085915,0.00039938727102458663
16,та,226,182,0.004517379919646605,0.003940758704313182,-0.0005766212153334224
17,так,224,154,0.004477403106198405,0.0033344881344188463,-0.0011429149717795584
18,із,220,232,0.004397449479302005,0.005023384721981639,0.0006259352426796344
19,від,200,186,0.0039976813448200045,0.004027368785726659,2.968744090665453e-05
20,все,190,122,0.0037977972775790044,0.002641607483111034,-0.0011561897944679703
21,ми,187,237,0.003737832057406704,0.005131647323748484,0.0013938152663417803
22,коли,178,161,0.003557936396889804,0.0034860557768924302,-7.188061999737361e-05
23,він,158,92,0.0031581682624078036,0.00199203187250996,-0.0011661363898978435
24,чи,157,151,0.0031381798556837036,0.003269530573358739,0.00013135071767503542
25,її,149,87,0.002978272601890903,0.0018837692707431145,-0.0010945033311477886
26,ще,147,153,0.002938295788442703,0.0033128356140654774,0.00037453982562277426
27,нас,138,121,0.002758400127925803,0.002619954962757665,-0.0001384451651681379
28,мене,137,99,0.002738411721201703,0.002143599514983544,-0.000594812206218159
29,тебе,134,107,0.002678446501029403,0.0023168196778104973,-0.0003616268232189057
30,хто,131,83,0.002618481280857103,0.001797159189329638,-0.0008213220915274651
31,але,130,159,0.002598492874133003,0.003442750736185692,0.000844257862052689
32,вона,129,76,0.002578504467408903,0.001645591546856054,-0.0009329129205528489
33,його,123,105,0.002458574027064303,0.002273514637103759,-0.0001850593899605439
34,буде,111,62,0.0022187131463751023,0.0013424562619088862,-0.0008762568844662161
35,де,109,150,0.0021787363329269023,0.0032478780530053697,0.0010691417200784674
36,ніби,98,73,0.0019588638589618022,0.0015806339857959467,-0.0003782298731658555
37,ж,97,63,0.0019388754522377022,0.0013641087822622553,-0.0005747666699754469
38,вже,96,98,0.0019188870455136022,0.002121946994630175,0.0002030599491165729
39,вони,96,65,0.0019188870455136022,0.0014074138229689937,-0.0005114732225446085
40,по,95,112,0.0018988986387895022,0.002425082279577343,0.0005261836407878407
41,під,94,120,0.001878910232065402,0.0025983024424042957,0.0007193922103388938
42,всі,94,71,0.001878910232065402,0.0015373289450892084,-0.00034158128697619355
43,лише,91,25,0.001818945011893102,0.0005413130088342284,-0.0012776320030588736
44,мені,90,98,0.001798956605169002,0.002121946994630175,0.00032299038946117316
